unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breathability_pascals_source,breathability_pascals_notes,uimc_lower,initial_cost_us_dollars,depth_mm,mass_grams
Posh KF94 Kids Mask,4-9,98.6,74.0,165.0,70.0,KF94,Boat,,,https://behealthyusa.net/collections/posh,https://www.everydayemall.com/collections/ppe/products/posh-kf94-mask-for-kids-made-in-korea,,https://behealthyusa.net/cdn/shop/products/POSH_KIDS_KA01.jpg?v=1627409574,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",posh kf94 kids mask,,,
Powecom - KN95 Black Protective Masks,,99.83,129.92,,,KN95,Bifold,Earloop,Black,https://bonafidemasks.com/Black-Powecom-KN95-Face-Mask,,,//www.armbrustusa.com/cdn/shop/articles/PowecomBlack.jpg?v=1675894396,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),powecom - kn95 black protective masks,,,
Powecom KN95-SM,7-12,97.3,130.0,86.0,135.0,KN95,Bifold,,,https://bonafidemasks.com/powecom-kn95-sm-respirator-mask-10-masks-per-pack/,,,https://cdn11.bigcommerce.com/s-36umx6hkc1/images/stencil/960w/products/255/601/masks_SM_size-04__24269.1667404150.jpg?c=2,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",powecom kn95-sm,,,
Prestige Ameritech ProGear Respirator and Surgical Mask,,98.64,99.3,,,N95,Duckbill,Headstrap,White,https://www.armbrustusa.com/products/prestige-ameritech-progear-rp88020-n95-particulate-filter-respirator-and-surgical-mask?variant=39573911535749,,,//www.armbrustusa.com/cdn/shop/articles/753_prestige_ameritech.png?v=1676403537,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),prestige ameritech progear respirator and surgical mask,,,
Primacare - KN95 5-ply Face Masks,,97.81,120.7,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08923JK7H/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/525-_Primecare-KN95_1__heic.jpg?v=1676399971,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),primacare - kn95 5-ply face masks,,,
ProductLabs KF94 - Kids,4-9,99.9,323.0,155.0,68.0,KF94,Boat,,,https://kollecteusa.com/collections/productlab,https://www.projectn95.org/products/product-lab-3d-style-boat-shape-kids-kf94-mask-pink?,,https://kollecteusa.com/cdn/shop/products/KakaoTalk_Image_2022-05-26-09-49-07_1494x1494.jpg?v=1653583943,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",productlabs kf94 - kids,,,
RightCare KN95 Protective Face Mask,,97.57,148.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/RightCare-Protective-Non-Medical-Efficiency-Shapeable/dp/B08FXZD8BC/ref=sr_1_39?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-39,,,//www.armbrustusa.com/cdn/shop/articles/584_rightcare_up.jpg?v=1675895620,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),rightcare kn95 protective face mask,,,
Rose Mask KF94,,99.43,131.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Rose-Mask-Experience-protection-Comfortable/dp/B099NB86FN/ref=sr_1_31?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-31,,,//www.armbrustusa.com/cdn/shop/articles/647_rose_up.jpg?v=1641841366,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),rose mask kf94,,,
Ryeziiio KN95 Face Mask,,98.47,114.0,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/Disposable-Respirator-Filtration-Efficiency-Healthcare/dp/B08QMHM1FF/ref=sr_1_47?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-47,,,//www.armbrustusa.com/cdn/shop/articles/590_ryeziio_up.jpg?v=1675894373,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),ryeziiio kn95 face mask,,,
Savewo 3D Mask - Kids Large,5-9,99.0,78.0,167.0,72.0,KN95,Boat,,,http://family-masks.com,https://mikoplace.com/savewo-3d-masks-ultra-30pcs-3d-ultra-astm-level-3-30-made-in-hk/,https://taiwan-masks.com/collections/savewo,https://www.family-masks.com/cdn/shop/products/3DMask-Kids-Large-White-Model1_1024x1024@2x.jpg?v=1659191665,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",savewo 3d mask - kids large,,,
SaveWo 3D Mask - Kids Small,3.5-8,99.1,80.0,155.0,68.0,KN95,Boat,,,http://family-masks.com,https://mikoplace.com/savewo-3d-mask-30pcs-kids-size-s-target-aged-2-6/,https://taiwan-masks.com/collections/savewo,https://www.family-masks.com/cdn/shop/products/3DMEOW-KIDS-S-MASK3_1024x1024@2x.jpg?v=1679810184,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",savewo 3d mask - kids small,,,
"Savewo Ultra 3D - Adult Small
[also includes Hana Small]",8?-13?,98.3,71.0,168.0,73.0,FFP2 Rated,Boat,,,http://family-masks.com,https://mikoplace.com/savewo-3d-masks-ultra-30pcs-3d-ultra-astm-level-3-30-made-in-hk/,https://taiwan-masks.com/collections/savewo,https://www.family-masks.com/cdn/shop/products/Ultra-Small-White-Mask3_1024x1024@2x.jpg?v=1659195917,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.","savewo ultra 3d - adult small
[also includes hana small]",,,
SEJIN-AIRSOOM KF94 Face Mask,,98.98,168.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/SEJIN-AIRSOOM-Reusable-Nonwoven-Cloth-Face/dp/B09FDV229Q/ref=sr_1_35_sspa?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-35-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExN0M3WDRXVDQ2UzhQJmVuY3J5cHRlZElkPUEwNzI0MTY3V0RPU0lMOEpEVEwzJmVuY3J5cHRlZEFkSWQ9QTAzMDgwNjM3S0xDRkJHNU1SUDQmd2lkZ2V0TmFtZT1zcF9tdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/652_SEJIN-AIRSOOM_up.jpg?v=1676402270,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),sejin-airsoom kf94 face mask,,,
Shawmut Protex N95 Particulate Respirator - Cup Style,,99.13,106.28,,,N95,Cup,Headstrap,White,https://www.armbrustusa.com/products/usa-made-n95-protex-particulate-respirator?variant=39502667317381,,,//www.armbrustusa.com/cdn/shop/articles/Shawmut5.jpg?v=1641829630,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),shawmut protex n95 particulate respirator - cup style,,,
Sheal Face Mask,,98.75,184.0,,,KF94,Boat,Earloop,Multicolored,https://www.amazon.com/Sheal-Disposable-4-Layer-Individual-Packaged/dp/B08W3CK6X7/ref=sxin_15_trfob_obrv2_3_B08W3CK6X7?crid=302OFE7X4V022&cv_ct_cx=kids+kn95+mask&dchild=1&keywords=kids+kn95+mask&pd_rd_i=B08W3CK6X7&pd_rd_r=c729f313-e7d5-49c7-aebf-85e937a994a9&pd_rd_w=pvkQr&pd_rd_wg=VktSn&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=TQ6AGVV4DEXHWDSGZS6Y&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=1-4-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f,,,//www.armbrustusa.com/cdn/shop/articles/604_sheal_up.jpg?v=1676402909,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),sheal face mask,,,
SUMFREE KF94 BLACK MASK,,99.14,211.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/SUMFREE-protection-Comfortable-breathing-disposable/dp/B08XBNCGS4/ref=sr_1_40?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-40,,,//www.armbrustusa.com/cdn/shop/articles/653-sumfree-KN95_up.jpg?v=1676402280,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),sumfree kf94 black mask,,,
Suncoo - Protective KN95 Masks,,99.8,136.4,,,KN95,Bifold,Earloop,White,https://www.amazon.com/SUNCOO-Protective-KN95-Mask-Pack/dp/B088MLLH8G/ref=sr_1_5?crid=6CQXA5Z69AED&dchild=1&keywords=suncoo+protective+kn95+mask+-+20+pack&qid=1630084423&sprefix=suncoo+%2Caps%2C189&sr=8-5,,,//www.armbrustusa.com/cdn/shop/articles/519-Suncoo-KN95.jpg?v=1675894524,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),suncoo - protective kn95 masks,,,
The Bio U&I Toddler Mask,2-5,99.3,121.0,150.0,58.0,KF94,Boat,,,https://kollecteusa.com/products/kf94-toddler-kids-mask-youandkids,,,https://www.protectly.co/cdn/shop/files/Ui1_1296x1296@2x.webp?v=1690348314,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",the bio u&i toddler mask,,,
Tia / BOTN - KF94 Particulate Disposble Respirator,,99.93,165.24,,,KF94,Boat,Earloop,Black,https://www.amazon.com/BOTN-Protective-4-Layer-Adjustable-Premium/dp/B0942YDDC5/ref=dp_prsubs_2?pd_rd_i=B0947MJHFC&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/TiaBotn.jpg?v=1676402988,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),tia / botn - kf94 particulate disposble respirator,,,
TITAN PROTECT SEKURA N95 Respirator Mask,,99.36,122.0,,,N95,Bifold,Headstrap,White,https://www.amazon.com/TITAN-PROTECT-SEKURA-Respirator-Mask/dp/B08SBXN5GW/ref=sw_img_sspa_dk_huc_pt_expsub_4?_encoding=UTF8&pd_rd_i=B08SBXN5GW&pd_rd_w=wDkb7&pf_rd_p=faa7bbf3-ed92-4e3c-bdb3-3bb45fd8d24c&pf_rd_r=FN92AVX2ZHD85TK97037&pd_rd_r=947e76bb-0935-4f8f-a9ec-17b02438c6bc&pd_rd_wg=4cSnh&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyMk1MWVZHRFpaVDI2JmVuY3J5cHRlZElkPUEwMTcyMzY5MjNDVTZGUjdQUExNSiZlbmNyeXB0ZWRBZElkPUEwMDg5MDcyMzBGWk1GS0tHQTg5NCZ3aWRnZXROYW1lPXNwX2h1Y19tcmFpJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,,,//www.armbrustusa.com/cdn/shop/articles/577_titan_protect_makrite_up.jpg?v=1676403516,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),titan protect sekura n95 respirator mask,,,
TRI-TITANS Kids Face Mask,,99.8,343.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/TRI-TITANS-Kids-Small-Disposable-Adjustable/dp/B092SW39DK/ref=sr_1_62?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728214&sprefix=kids+kn%2Caps%2C222&sr=8-62,,,//www.armbrustusa.com/cdn/shop/articles/628_tri-titans_up.jpg?v=1676396604,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),tri-titans kids face mask,,,
TRY Mask Premium KF94 Face Mask KN-Flax,,99.51,185.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/20Packs-KF94-Black-Protective-Individually/dp/B08Y5ZV8HR/ref=sr_1_60?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-60,,,//www.armbrustusa.com/cdn/shop/articles/658_try_mask_premium_up.jpg?v=1641830017,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),try mask premium kf94 face mask kn-flax,,,
United States Mask Company KidsN95[Head Straps],6.5-11,99.46,468.0,91.0,130.0,Non-Rated,,,,https://www.unitedstatesmask.com/collections/kid95-5-layer-kids-face-mask-with-95-particle-protection-made-in-america,,,https://www.unitedstatesmask.com/cdn/shop/products/3_97c020a3-38b0-465f-bcd7-8eb1f4c86237.png?v=1639514002&width=1206,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",united states mask company kidsn95[head straps],,,
Vitacore CAN99e - Kids,6-9,99.5,83.0,168.0,69.0,ASTM Lvl 3,Boat,,,https://shop.vitacore.com/products/childrens-can99e-earloop-mask,,,https://shop.vitacore.com/cdn/shop/products/CAN99e_Children_10_Box_Mask-min_a48e3100-8340-4fe1-8d7d-c7f45cdcd8ec_1218x816.png?v=1675984335,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",vitacore can99e - kids,,,
Weldots Fender Premium KF94 Mask,,99.82,213.92,,,KF94,Boat,Earloop,Grey,https://www.amazon.com/Weldots-Premium-Origami-Protection-Headbands/dp/B08WJP31R8/ref=sr_1_34_sspa?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-34-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExN0M3WDRXVDQ2UzhQJmVuY3J5cHRlZElkPUEwNzI0MTY3V0RPU0lMOEpEVEwzJmVuY3J5cHRlZEFkSWQ9QTAxMzgzMjFPRkVFTzY0S0lSVVMmd2lkZ2V0TmFtZT1zcF9tdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/650_weldots_up.jpg?v=1676316785,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),weldots fender premium kf94 mask,,,
Welkeeps KF94 Kids Face Mask,,99.48,134.0,,,KF94,Boat,Earloop,Graphics,https://www.amazon.com/Children-Respirators-Protective-Disposable-Welkeeps/dp/B08QRP4M4T/ref=sr_1_88?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728214&sprefix=kids+kn%2Caps%2C222&sr=8-88,,,//www.armbrustusa.com/cdn/shop/articles/633_welkeeps_2.jpg?v=1641841109,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),welkeeps kf94 kids face mask,,,
Well Before Adults KF94 Style,,99.1,363.0,,,KN95,Boat,Earloop,White,https://wellbefore.com/products/kn95-mask-3d-style?variant=39286618423425,,,//www.armbrustusa.com/cdn/shop/articles/688_Well_Before_Adults_KF94_up.jpg?v=1641846093,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),well before adults kf94 style,,,
Well Before Adults KN95,,98.2,167.0,,,KN95,Bifold,Earloop,Blue,https://wellbefore.com/products/kn95-disposable-fda-ce?variant=39285144518785,,,//www.armbrustusa.com/cdn/shop/articles/687_-_WellBefore_Adults_KN95_up.jpg?v=1642101113,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),well before adults kn95,,,
Well Before Kids KN95,,97.79,183.0,,,KN95,Bifold,Earloop,White,https://wellbefore.com/products/kn95-disposable-fda-ce?variant=39285144518785,,,//www.armbrustusa.com/cdn/shop/articles/685_Well_Before_Kids_KN95_up.jpg?v=1642101269,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),well before kids kn95,,,
Well Before Kids KN95 3D (KF94 Style),,99.4,247.62,,,KN95,Boat,Earloop,White,https://wellbefore.com/products/kids-petite-faces-kn95-3d-style-kf94-adjustable#pid=5,,,//www.armbrustusa.com/cdn/shop/articles/Screen_Shot_2022-01-10_at_2.28.42_PM.png?v=1675894440,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),well before kids kn95 3d (kf94 style),,,
Wellbefore Kids KN95 Petite Regular,7-13,99.1,92.0,83.0,145.0,KN95,Bifold,,,https://wellbefore.com/collections/kids/products/kids-kn95-fda-5-layers-individually-wrapped?variant=19968676626561,,,https://wellbefore.com/cdn/shop/files/6545099980929_2F000_3D_3D_3D_23color_white_570x.webp?v=1706822496,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",wellbefore kids kn95 petite regular,,,
Wellbefore Kids KN95 Petite Small,6-9,98.3,181.0,75.0,122.0,KN95,Bifold,,,https://wellbefore.com/collections/kids/products/kids-kn95-fda-5-layers-individually-wrapped?variant=19968676626561,,,https://wellbefore.com/cdn/shop/files/6545099980929_2F000_3D_3D_3D_23color_white_570x.webp?v=1706822496,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",wellbefore kids kn95 petite small,,,
Wellbefore Kids KN95 Petite X-Small,2-4,97.4,299.0,67.0,111.0,KN95,Bifold,,,https://wellbefore.com/collections/kids/products/kids-kn95-fda-5-layers-individually-wrapped?variant=19968676626561,,,https://wellbefore.com/cdn/shop/files/6545099980929_2F000_3D_3D_3D_23color_white_570x.webp?v=1706822496,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",wellbefore kids kn95 petite x-small,,,
WesGen KN95 Face Mask,,98.25,172.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/WesGen-KN95-Face-Mask/dp/B08LPM44QC/ref=sw_img_sspa_dk_huc_pt_expsub_0?_encoding=UTF8&pd_rd_i=B08LPM44QC&pd_rd_w=sQaLK&pf_rd_p=faa7bbf3-ed92-4e3c-bdb3-3bb45fd8d24c&pf_rd_r=G2PH0T635S5HKPJX619M&pd_rd_r=feebd8d5-2465-415f-9b56-10a0a72ee427&pd_rd_wg=thAqJ&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUE5TUVWRFJYWlhHWlkmZW5jcnlwdGVkSWQ9QTAwMTI2NzQxQjVYTFJWWktUQ0g5JmVuY3J5cHRlZEFkSWQ9QTA1Mzk3MjgyT1VXNUFRNEdMWEU0JndpZGdldE5hbWU9c3BfaHVjX21yYWkmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/566_wesgen_up.jpg?v=1676396548,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),wesgen kn95 face mask,,,
